id,cctv,electronic_payment,security_lighting,security_gates,security_guards,security_key,sheltered_parking,underground_parking,restrooms,twentyfour_hours_access,arranged_transfer,car_wash
1764761,8.58888478746946e-05,1.9078218567949937e-09,0.000306203027105793,1.3020715110725516e-05,1.6174811346326149e-15,0.0005502970780980226,0.001955229646826929,6.070057321573608e-06,7.807227126605479e-36,0.9999999654473873,1.3358415112457705e-14,1.8371710821780798e-32
5952822,9.614175478856815e-10,1.0121784260514884e-09,0.017290778432199682,1.1678693934126276e-08,1.6540407759534705e-17,7.8209130094565e-10,1.5069508938759453e-08,2.582547143350829e-12,1.5150640752754502e-35,0.9999973139252611,1.1821587356182802e-18,5.612578118928688e-31
4358053,2.302921688213659e-06,1.028012523157091e-13,0.00013586503595678973,0.9924229190981458,7.454162380526994e-19,1.6866480106654334e-05,0.00020414676120428696,4.1180227334989026e-07,8.811609752713651e-43,0.999992958028042,5.640345793938225e-22,2.470629749569041e-41
4948384,0.0003070750693241723,0.00018666091258779134,0.003787131041504105,0.0010044252583438279,1.0642327486709106e-06,0.0001810135340522521,0.0012592954332672774,0.00010232283709280222,7.758716997218108e-14,0.8431682901452591,2.1048827179456235e-08,4.1593287423963274e-15
4617681,0.0127761553385745,0.015662216129470642,0.03797888095949042,0.17757435639136135,0.00043298860838882774,0.18201718401616612,0.02511705706964965,0.05658948991636495,5.449912197585529e-07,0.7829128346797557,0.0021802785130393817,1.0139802719277415e-06
6976022,0.00014724212536436598,1.6425371658787905e-07,0.001969749762501413,4.5324747594283535e-07,3.5463313524774525e-10,1.1221059712240239e-06,4.867955516995114e-06,2.3063460130451614e-07,2.3874421702622798e-21,0.8399848941157598,1.3594439365253968e-12,2.491507132325631e-23
4701816,0.6949216500164368,1.596555366388646e-11,0.0025656830520546093,0.877626841840364,1.952176414540793e-11,0.2047979388274136,9.886821864967726e-05,1.0235179140588605e-05,7.349620449703827e-33,0.9999534435683662,6.259656819902581e-18,1.361116500663077e-28
20475010,0.038304682846878095,0.3331658310532711,0.023130576741801388,0.01452239866231932,0.31005372630728784,0.1252564434683553,0.505336173495593,0.5649514742824437,0.4047321912777193,0.5311443227024585,0.23467166451759516,0.40756977104301895
5283452,0.4296184983682069,8.227630767198658e-09,0.15296708882217638,0.9999353145028248,1.2241350008189303e-11,0.9407639956040583,0.03487247318684691,0.34258284442543746,1.0858192188808445e-28,0.999999630787795,1.2723518225175216e-16,2.3637003648787413e-30
4685864,0.005010906675021214,7.91475266452713e-05,0.05990011801919512,0.0240490109107647,4.965529005251515e-07,0.07372152333535073,0.004069592104690723,0.00045303691395963945,2.2364429662511874e-17,0.9965092771580756,4.4521576925913855e-09,4.9333318848287735e-17
5295782,0.9993064750774422,0.0013178544192306223,0.9151991207649485,0.9995623520372106,0.00015830703555361276,0.995136213978922,0.10255221366237002,0.675934659145332,4.415133195136503e-15,0.9945387243089158,2.8627648836337725e-07,2.325014328129766e-13
5295783,0.9563993205341363,0.036552948963579746,0.06503448309350775,0.9550798692026751,0.8861511126346289,0.31035173537889205,0.010079776741594293,0.9995008146418701,1.1163917136552962e-08,0.9843592515291995,2.8983024360360602e-05,5.576191676686553e-09
5973123,5.7524351412789055e-08,7.541710467508812e-10,4.736278509142588e-06,9.0079951176536e-11,7.659398835076312e-13,7.430414933289447e-10,1.1031083556111814e-09,3.516527599278435e-13,4.3385649712164814e-20,0.028330299771588633,7.144822022797152e-08,4.947332238252623e-17
5524971,0.9999993975711841,2.878880117561974e-06,0.9996157707919496,0.9999999999865281,1.898829693047151e-06,0.9999999984702868,0.9651688732529775,0.9999648775464606,6.159641636302562e-31,0.9999999998666453,2.1495453262790334e-18,5.579665292447802e-31
5577908,1.1355072411669715e-12,4.426389949141703e-18,0.0004728772498959273,6.506125323082818e-12,8.923096006273127e-21,9.62944634568357e-08,3.631100687322272e-10,5.862039233920235e-13,5.051175776497107e-47,0.9999999999996589,1.2519597187859912e-23,6.8237786337040634e-46
5880304,5.148177571512631e-05,2.1176822699837115e-08,0.21189589746662943,0.00018732006837108073,1.0366215000129631e-07,1.1639388909353298e-05,1.0522005568819208e-05,2.5762932677076457e-07,4.414281180010535e-22,0.9055950525931136,5.719838818411919e-10,1.4508056798699847e-21
5596763,3.503638628103218e-06,1.0215369538164942e-12,0.00019299335937996467,0.9710844457696075,4.7367738060428124e-17,0.0011671650183561204,6.177619269036657e-07,3.6771620452920784e-08,2.982073285575171e-38,0.9999985406189316,1.4156774805174572e-17,4.832825455171299e-37
6840413,3.5314323730331375e-10,2.472960836326547e-09,1.4966124518021086e-05,2.2774590701114283e-10,6.499648752217025e-18,6.411471394655923e-11,6.0297117181784975e-09,4.050995053165975e-13,1.8335982724033698e-29,0.9943817113328989,8.412295387176833e-14,2.412246362979708e-25
9682351,0.9771084423422293,0.07627564911458327,0.5057879326575175,0.9443825345790575,0.01808085456927843,0.8874701703183023,0.6076106930621675,0.4721073100506744,1.466659873408957e-09,0.995773064226775,6.508344834474151e-05,1.234558515187099e-07
10047098,0.7026346915471319,6.812431452464675e-07,0.33795184754528695,0.9111650787092249,7.550295045091852e-08,0.22337512474458557,0.00015989848803319681,0.00021713038297329671,6.619947995542132e-25,0.9997948290180346,3.607712637322978e-13,2.411785929030166e-25
10944150,3.275222271474601e-08,1.1478005268878124e-07,0.0018701182031132324,4.4951950218987175e-08,9.639847761649642e-16,0.0001261522774650788,3.6939488612329963e-06,1.3360574706550356e-09,2.614626777908811e-25,0.9999974507896446,1.3681280034391928e-14,4.9969271873847947e-26
10950678,0.0020099549771757834,5.147629222688257e-10,0.0007471735840333851,0.9974722884329584,7.03961066922675e-13,0.47835276650209146,0.0007809239204483114,8.261001788995719e-06,6.4498266385154266e-27,0.9999930421127681,2.905539728775098e-14,8.307497904365163e-26
11205934,0.00032620288963618795,0.0004847184903167069,0.0388486790663739,0.0019616545665386204,1.9722629307294967e-06,0.03538471651224611,0.0325117178486605,0.0007549251553140908,4.581888532181525e-12,0.975265290784956,9.934650190516098e-08,8.658416311960128e-12
11219718,0.9815136025396306,5.369492726561172e-10,0.06817256690349978,0.9999737809349589,1.8835536677313543e-08,0.9999897928414292,0.9648585171988695,0.9960739384993118,7.8173765656071995e-31,0.9999999983181169,6.460270223659883e-14,7.3427527280847875e-28
